round,mse,rmse,mae,r2
1,0.00904964119245171,0.09200406946030985,0.0647050804306757,0.2456417577119651
2,0.0089544915977767,0.09137973970315072,0.06341433305014335,0.22622877677106648
3,0.01005018816087477,0.0942120907358795,0.06642843248888784,0.16610712272480196
4,0.016479165556056975,0.11250047001770112,0.07859533283088176,-0.38078182074466993
5,0.011951505172062287,0.1033417657441055,0.06896964708745217,-0.12516265611291458
6,0.009127079709207368,0.0915430304723353,0.06369692561778728,0.1861976893200223
7,0.008498028793581454,0.08790181466593691,0.062236267864901065,0.2875165788087551
8,0.00964606930932547,0.0944563070623714,0.06612540764758766,0.13032770889446074
9,0.01479169975562095,0.11018237917677012,0.07303901210853969,-0.354790589699136
10,0.014044924123450655,0.10480094881948136,0.07033044380435334,-0.1250646093868474
11,0.010168010628646822,0.09598359848951478,0.06592045741951676,0.18038190758175787
12,0.012109987178431734,0.10271186125263232,0.06970271533642308,-0.14851689291420486
13,0.0096945550130672,0.09317982042859582,0.0638457799420614,0.16335464146168746
14,0.009531089709251135,0.09483863258123179,0.06538152785618925,0.16118714688632982
15,0.00977352764908766,0.09219881837084751,0.06143663207044423,0.19342521271516572
16,0.008556064062583617,0.08837652200979892,0.05851938711389046,0.28724712800349433
17,0.01116069529168636,0.10017674952601355,0.06684759449755305,0.08530539875513657
18,0.009306028031329686,0.09019875011443829,0.06242814823853812,0.2176821174600576
19,0.010622652016563695,0.09630960862140604,0.06536762385346029,0.13474782694803986
20,0.012434539066869683,0.10245094466814493,0.07024164529525498,-0.09112963256331792
21,0.009381813603342564,0.09177337362739765,0.06334825918931793,0.1333663950144982
22,0.008622968016963632,0.08845506244832788,0.060853599287602346,0.2820984289247034
23,0.010979948277146215,0.09890564888017482,0.0680019222626602,0.12178984126855623
24,0.013034996434960039,0.10446056340795422,0.07031940474679554,-0.02380725717754616
25,0.010126459704494589,0.09600478824664309,0.06596467142621064,0.12840260713636087
26,0.010441818698781177,0.09813945460955438,0.06570656223115942,0.1157067330135648
27,0.011727989671263631,0.10183431108583338,0.06791371278431972,-0.023154493050428215
28,0.010642518341492057,0.09811455934344865,0.06446559027099924,0.10593073294551363
29,0.009690559922721614,0.09509429988619272,0.06117964376929311,0.15214251111782595
30,0.0106390287654499,0.09747529821734312,0.06457638841138799,0.09936964687796941
31,0.009189832420498626,0.08999610745194382,0.05994678494984095,0.24586798375398577
32,0.012070641436794616,0.1034613001292613,0.06318204642851973,-0.10594380634471709
33,0.013626293587346565,0.11081167906916391,0.06778544125184088,-0.25046309237963305
34,0.011292279018130203,0.10187297740310443,0.06321045912900686,0.028590407770635796
35,0.009019648191408308,0.09204932576486663,0.0598858149730424,0.1824366351056204
36,0.008926949392294405,0.09031511504659574,0.05942071401370517,0.2519983515340326
37,0.009753208028333106,0.09384892496728042,0.062223160163487105,0.17342280083815956
38,0.01119373511432748,0.09850568556335297,0.06537354757705711,0.10225484465712492
39,0.011553123859495812,0.10204598001030195,0.06267610705962265,-0.03878445885254948
40,0.009966637560839268,0.0938659991154124,0.06418972706446827,0.10491732705532192
41,0.009274680905109722,0.09258949387992699,0.05875200291168322,0.16438974630465067
42,0.009019239760816327,0.08834512122073322,0.05725023508859626,0.27995733760527053
43,0.009031758689432352,0.0898777789358945,0.05795728935806762,0.2333419933980782
44,0.010395343271638,0.09706394891782166,0.06260865107671017,0.13057212044489017
45,0.008893923284711587,0.0910197391898917,0.06226124621205655,0.21694966696432508
46,0.01025835054389115,0.09481178672485256,0.06076114330982322,0.1479188234795558
47,0.01007186260704148,0.09515221537330312,0.06178640218098783,0.08191799508317452
48,0.012382011614649635,0.1056816467897819,0.06672862979710627,-0.052606164778906866
49,0.012246139704696998,0.1049325144434999,0.07195127928211038,-0.2072161975148491
50,0.012061518390605529,0.10457363067530735,0.06494542605649795,-0.09859483840707114
